protocol,speed_ms,txpower_dbm,rssi_label,run,pdr_pct,avg_delay_ms,throughput_mbps,jitter_ms,routing_overhead_pkts,avg_rssi_dbm,min_rssi_dbm,max_rssi_dbm
aodv,10.0,10,Dusuk_RSSI,1,93.33,8.982,0.104,9.16,184,-80.7,-81,-80
aodv,10.0,10,Dusuk_RSSI,2,93.33,7.823,0.201,11.756,240,-80.7,-81,-80
aodv,10.0,10,Dusuk_RSSI,3,93.33,6.781,0.166,0.769,212,-80.7,-81,-80
aodv,10.0,8,Cok_Dusuk_RSSI,1,93.33,7.857,0.171,0.709,212,-82.7,-83,-82
aodv,10.0,8,Cok_Dusuk_RSSI,2,93.33,7.349,0.461,14.12,185,-82.7,-83,-82
aodv,10.0,8,Cok_Dusuk_RSSI,3,93.33,6.982,0.191,12.107,198,-82.7,-83,-82
aodv,10.0,5,Asiri_Dusuk_RSSI,1,90.0,7.122,1.099,8.832,132,-82.0,-82,-82
aodv,10.0,5,Asiri_Dusuk_RSSI,2,90.0,7.267,1.135,7.872,105,-82.0,-82,-82
aodv,10.0,5,Asiri_Dusuk_RSSI,3,90.0,6.163,1.335,8.065,105,-82.0,-82,-82
aodv,15.0,10,Dusuk_RSSI,1,93.33,8.199,0.165,0.946,213,-80.7,-81,-80
aodv,15.0,10,Dusuk_RSSI,2,93.33,7.641,0.137,21.903,180,-80.7,-81,-80
aodv,15.0,10,Dusuk_RSSI,3,93.33,7.205,0.162,1.277,212,-80.7,-81,-80
aodv,15.0,8,Cok_Dusuk_RSSI,1,93.33,8.654,0.113,9.289,182,-82.7,-83,-82
aodv,15.0,8,Cok_Dusuk_RSSI,2,93.33,7.022,0.137,11.748,256,-82.7,-83,-82
aodv,15.0,8,Cok_Dusuk_RSSI,3,93.33,6.982,0.197,12.807,241,-82.7,-83,-82
aodv,15.0,5,Asiri_Dusuk_RSSI,1,90.0,21.883,1.201,5.928,116,-82.0,-82,-82
aodv,15.0,5,Asiri_Dusuk_RSSI,2,90.0,14.291,0.476,13.272,115,-82.0,-82,-82
aodv,15.0,5,Asiri_Dusuk_RSSI,3,90.0,8.506,1.092,23.572,107,-82.0,-82,-82
aodv,20.0,10,Dusuk_RSSI,1,93.33,12.618,0.192,12.844,242,-80.7,-81,-80
aodv,20.0,10,Dusuk_RSSI,2,93.33,14.452,0.137,21.063,185,-80.7,-81,-80
aodv,20.0,10,Dusuk_RSSI,3,93.33,8.136,0.196,12.059,209,-80.7,-81,-80
aodv,20.0,8,Cok_Dusuk_RSSI,1,93.33,7.586,0.167,0.623,213,-82.7,-83,-82
aodv,20.0,8,Cok_Dusuk_RSSI,2,93.33,7.235,0.138,19.683,185,-82.7,-83,-82
aodv,20.0,8,Cok_Dusuk_RSSI,3,93.33,11.812,0.207,12.075,253,-82.7,-83,-82
aodv,20.0,5,Asiri_Dusuk_RSSI,1,90.0,7.374,0.983,8.792,132,-82.0,-82,-82
aodv,20.0,5,Asiri_Dusuk_RSSI,2,90.0,8.901,0.671,10.021,116,-82.0,-82,-82
aodv,20.0,5,Asiri_Dusuk_RSSI,3,90.0,9.789,1.134,6.107,120,-82.0,-82,-82
olsrd,10.0,10,Dusuk_RSSI,1,83.33,8.144,0.459,6.659,47,-80.7,-81,-80
olsrd,10.0,10,Dusuk_RSSI,2,83.33,8.667,0.456,6.482,49,-80.7,-81,-80
